Data ID	Sub System	Name	ADC No	Packet Type	Packet Subtype	Decode Type	Decode ID1	Decode ID2	Decode ID3	Decode ID4	Raw Format	Eng Format	Eng Eq Type	Eng K1	Eng K2	Sci Units	Sci Format	Sci Eq Type	Sci From Eng	Sci K1	Sci K2	Sci K3	Sci K4	Sci K5	Sci K6	Sci K7	Sci K8	Mux Ch	Eng Limit Type	Eng Yellow Limit	Eng Red Limit	Sci Limit Type	Sci Yellow Limit	Sci Red Limit
44	CDH	THPRES	2	5	0	101	44	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	44	0	0	0	0	0	0
45	CDH	OS_OL5_MON	2	5	0	101	45	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	45	0	0	0	0	0	0
46	CDH	OS_OL6_MON	2	5	0	101	46	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	46	0	0	0	0	0	0
47	CDH	SL_TB_MON	2	5	0	101	47	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	47	0	0	0	0	0	0
48	CDH	SL_BF_MON	2	5	0	101	48	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	48	0	0	0	0	0	0
49	CDH	SL_EL_MON	2	5	0	101	49	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	49	0	0	0	0	0	0
50	CDH	IA_L1_MON	2	5	0	101	50	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	50	0	0	0	0	0	0
51	CDH	IA_L2_MON	2	5	0	101	51	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	51	0	0	0	0	0	0
52	CDH	IA_L5_MON	2	5	0	101	52	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	52	0	0	0	0	0	0
53	CDH	IA_L6_MON	2	5	0	101	53	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	53	0	0	0	0	0	0
54	CDH	IF_+5REF_MON	2	5	0	101	54	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	54	0	0	0	0	0	0
55	CDH	IF_-5REF_MON	2	5	0	101	55	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	55	0	0	0	0	0	0
56	CDH	IF_TMP	2	5	0	101	56	0	0	0	%d	%.4f	2	1	10	C	%.1f	4	FALSE	32768	18700	0.000925626	0.000222443	1.23E-07	0	0	0	56	0	0	0	0	0	0
57	CDH	IS_TMP	2	5	0	101	57	0	0	0	%d	%.4f	2	1	10	C	%.1f	4	FALSE	32768	18700	0.001059882	0.0002323	2.02E-07	0	0	0	57	0	0	0	0	0	0
58	CDH	EXT_THERM2	2	5	0	101	58	0	0	0	%d	%.4f	2	1	10	C	%.1f	1	TRUE	0	1	0	0	0	0	0	0	58	0	0	0	0	0	0
59	CDH	BA_PRES_LO	2	5	0	101	59	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	59	0	0	0	0	0	0
60	CDH	IF_GND_REF	2	5	0	101	60	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	60	0	0	0	0	0	0
61	CDH	SPARE_6	2	5	0	101	61	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	61	0	0	0	0	0	0
62	CDH	CDH_3.3VMON	2	5	0	101	62	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	62	0	0	0	0	0	0
