c3d56976-2fce-4898-b9fb-6029c1133992
t,label,value
1643116929981000,MO1_LD1_PD_Current,276
1643116929981000,MO1_LD2_PD_Current,262
1643116929981000,MO1_LD_TEC,22.000643
1643116929981000,MO1_LD_TEC_V,0.421975
1643116929981000,MO1_LD_TEC_I,-0.541156
1643116929981000,MO1_CRYSTAL_TEC,37.000244
1643116929981000,MO1_CRYSTAL_TEC_V,0.285149
1643116929981000,MO1_CRYSTAL_TEC_I,0.057149
1643116929981000,MO1_CASE_TEC,21.514
1643116929981000,MO1_CASE_TEC_V,-0.88
1643116929981000,MO1_CASE_TEC_I,-0.39
1643116929981000,MO1_PD_Current,5592
1643116929981000,MO_POWER_RAW,0.136322
1643116929981000,uNPRO_Lid_Pumps,21.572981
1643116929981000,uNPRO_Lid_XTAL,21.457187
1643116929981000,uNPRO_LID_OPTAP,21.714292
1643116929981000,uNPRO_Snout,21.652803
1643116929981000,Baseplate_at_Snout,19.361947
1643116929981000,Breadboard_Snout+135deg,19.239913
1643116929981000,Baseplate_Snout+135deg,19.350208
1643116930992000,ELAPSED_SEC,15.761
1643116930992000,SCAN_INDEX,-1
1643116930992000,ANALOG_TUNE_A,0
1643116930992000,ANALOG_TUNE_B,0
1643116930992000,UPS_LOAD_%,0
1643116930992000,UPS_STATUS, 10000
1643116930992000,MO1_LD1_CURR,400
1643116930992000,MO1_LD2_CURR,399.9
1643116930992000,MO1_LD1_VOLT,2.087
1643116930992000,MO1_LD2_VOLT,2.087
1643116930992000,MO1_LD1_PD_Current,276
1643116930992000,MO1_LD2_PD_Current,262
1643116930992000,MO1_LD_TEC,22.000643
1643116930992000,MO1_LD_TEC_V,0.421975
1643116930992000,MO1_LD_TEC_I,-0.541156
1643116930992000,MO1_CRYSTAL_TEC,37.000244
1643116930992000,MO1_CRYSTAL_TEC_V,0.285149
1643116930992000,MO1_CRYSTAL_TEC_I,0.057149
1643116930992000,MO1_CASE_TEC,21.46
1643116930992000,MO1_CASE_TEC_V,-0.87
1643116930992000,MO1_CASE_TEC_I,-0.4
1643116930992000,MO1_PD_Current,5591
1643116930992000,MO_POWER_RAW,0.136338
1643116930992000,uNPRO_Lid_Pumps,21.57578
1643116930992000,uNPRO_Lid_XTAL,21.455929
1643116930992000,uNPRO_LID_OPTAP,21.715412
1643116930992000,uNPRO_Snout,21.65723
1643116930992000,Baseplate_at_Snout,19.362529
1643116930992000,Breadboard_Snout+135deg,19.240117
1643116930992000,Baseplate_Snout+135deg,19.350722
1643116932002000,ELAPSED_SEC,16.771
1643116932002000,SCAN_INDEX,-1
1643116932002000,ANALOG_TUNE_A,0
1643116932002000,ANALOG_TUNE_B,0
